id,title,image,alt,author
1,Deep mediterranean quiche,mediterranean-quiche-umami.jpg,A delicious deep layered Mediterranean quiche with basil garnish,Umami
2,Vegan chocolate and nut brownies,vegan-chocolate-nut-brownies.jpg,"A stack of chocolate and pecan brownies, sprinkled with pecan crumbs and crushed walnut, fresh out of the oven",Umami
3,Super easy vegetarian pasta bake,veggie-pasta-bake-umami.jpg,Cheesy pasta dish with vegetarian sausages and topped with mozzarella cheese and basil,Umami
4,Watercress soup,watercress-soup-umami.jpg,Watercress soup with a sprig of coriander as garnish in a white bowl with green trim,Umami
5,Victoria sponge cake,victoria-sponge-umami.jpg,"A classic, uncut Victoria sponge with a deep filling of butter cream and jam",Umami
6,Gluten free pizza,pizza-umami.jpg,"Olives, basil, and mozzarella top a gluten free pizza crust with marinara sauce",Umami
7,Thai green curry,thai-green-curry-umami.jpg,"A traditional bowl of creamy, aromatic Thai green curry with chunks of chicken in a small bowl with jasmine rice",Umami
8,Crema catalana,crema-catalana-umami.jpg,"Typical Catalan dessert made from cream and egg yolks, covered with a traditional layer of caramelized sugar to provide a crispy contrast",Umami
9,Fiery chili sauce,chili-sauce-umami.jpg,"An iridescent array of chilies, onions, and garlic, slowly sweating over a low heat",Umami
10,Home Grown Herbs,home-grown-herbs.jpg,"Fresh cut herbs including mint, parsley, thyme and dill",Holly Foat
11,Vegan Chocolate,vegan-chocolate.jpg,"A delicious bar of dairy-free milk chocolate, broken into pieces",Umami
12,Supermarket Savvy Umami,supermarket-savvy-umami.jpg,Leafy greens presented on supermarket produce shelving,Megan Collins Quinlan
13,Mushrooms Umami,mushrooms-umami.jpg,A delightful selection of mushroom varieties laid out on a simple wooden plate,Umami
14,Heritage Carrots,heritage-carrots.jpg,"Purple, orange, yellow and white heritage carrots",Umami
15,Chocolate Brownie Umami,chocolate-brownie-umami.jpg,A delicious chocolate brownie,Umami
16,Mojito Mocktail,mojito-mocktail.jpg,"Fresh mojito mocktail with garnish of mint leaves, ice, and sliced lime",Megan Collins Quinlan
17,Oatmeal Fruit Syrop Topping,oatmeal-fruit-syrup-topping.jpg,"Oatmeal topped with a vibrant mix of berries, nuts, and seeds",Umami
18,Mouth watering vegetarian pasta bake with rich tomato sauce and cheese toppings,veggie-pasta-bake-hero-umami.jpg,Mouth watering vegetarian pasta bake with rich tomato sauce and cheese toppings,Umami
19,3 issue bundle of the Umami food magazine,umami-bundle.png,3 issue bundle of the Umami food magazine,Umami
20,(Hero) Vegan chocolate and nut brownies,vegan-brownies-hero-umami.jpg,"A stack of chocolate and pecan brownies, sprinkled with pecan crumbs and crushed walnut, fresh out of the oven",Umami
